schema,tbl,rows
audit,import_approval_decisions,1589
audit,import_run_logs,2688
audit,import_validation_results,1554371
audit,import_validation_rule_codes,13
audit,user_self_service_actions,0
brownfield,column_mappings,1225
brownfield,import_runs,902
brownfield,source_columns,1174
brownfield,source_exports,4
brownfield,source_tables,94
brownfield,source_watermarks,3
brownfield,table_mappings,97
brownfield,tenant_id_mappings,2
staging,legacy_rtl_occupations,0
staging,rtl_certifications,0
staging,rtl_employee_attendance,0
staging,rtl_employee_certifications,0
staging,rtl_employee_contracts,0
staging,rtl_employee_module_completions,11
staging,rtl_employee_skill_assessments,0
staging,rtl_employee_skill_profiles,0
staging,rtl_employee_skills,0
staging,rtl_employees,162
staging,rtl_org_units,0
staging,rtl_salary_band_assignments,0
staging,rtl_salary_bands,0
staging,rtl_tenant_custom_skills,0
staging,rtl_users,0
staging,tmp_d4_org_unit_kpis,100
staging,tmp_d4_org_unit_templates,225
staging,tmp_f2_bonus_pools,14
staging,tmp_f2_career_paths,32
staging,tmp_f2_gap_analysis,304
staging,tmp_f2_user_career_plans,128
staging,tmp_f2_user_documents,1089
staging,tmp_f3_ecp,40
staging,tmp_f3_jtc,207
staging,tmp_f3c_cpl,75
staging,tmp_f3c_cr,16
staging,tmp_f3c_sp,31
staging,tmp_f3c_ula,3393
staging,tmp_f4_ba,465
staging,tmp_f4_cr,208
staging,tmp_f4_ekt,412
staging,tmp_f4_gca,1045
staging,tmp_f4_gcp,65
staging,tmp_f4_km,0
staging,tmp_f4_or,14
staging,tmp_f4_pe,237
staging,tmp_f4_pew,15
staging,tmp_f4_sc,206
staging,tmp_f4_ts,264
staging,tmp_f4_vp,244
staging,tmp_w3_ces,717
staging,tmp_w3_courses,127
staging,tmp_w3_evidence,1928
staging,tmp_w3_lpc,124
staging,wave1_activity_classification_mappings,0
staging,wave1_activity_classifications,0
staging,wave1_blueprint_process_registry,0
staging,wave1_compensation_bands,0
staging,wave1_esco_occupation_mappings,0
staging,wave1_job_families,0
staging,wave1_job_roles,0
staging,wave1_learning_modules,0
staging,wave1_learning_path_steps,0
staging,wave1_learning_paths,0
staging,wave1_process_kpi_templates,0
staging,wave1_skill_aliases,0
staging,wave1_skill_categories,0
staging,wave1_skill_families,0
staging,wave1_skill_learning_mappings,0
staging,wave1_skill_taxonomy_edges,0
staging,wave1_skills,0
staging,wave1_user_certifications,0
sys,sys_activity_classification_mappings,5730
sys,sys_activity_classifications,6533
sys,sys_approval_requests,0
sys,sys_approval_steps,0
sys,sys_assessment_methods,5
sys,sys_assessment_results,1560
sys,sys_assessments,615
sys,sys_attendance,3180
sys,sys_auth_credentials,12
sys,sys_auth_identities,12
sys,sys_auth_login_events,75847
sys,sys_auth_mfa_exemption_audit,0
sys,sys_auth_mfa_exemptions,0
sys,sys_auth_mfa_factors,6
sys,sys_auth_mfa_otp_challenges,0
sys,sys_auth_mfa_policies,2
sys,sys_auth_mfa_recovery_codes,0
sys,sys_auth_mfa_webauthn_credentials,0
sys,sys_auth_password_reset_tokens,411
sys,sys_auth_permissions,154
sys,sys_auth_refresh_tokens,47594
sys,sys_auth_role_permissions,681
sys,sys_auth_roles,12
sys,sys_auth_sessions,0
sys,sys_behavioral_assessments,465
sys,sys_blueprint_activations,0
sys,sys_blueprint_families,1
sys,sys_blueprint_overrides,0
sys,sys_blueprint_process_registry,23
sys,sys_blueprint_variants,1
sys,sys_bonus_pools,6
sys,sys_branches,6
sys,sys_capability_maturity_scores,20
sys,sys_capability_score_lineage,316
sys,sys_capability_scores,317
sys,sys_career_path_steps,35
sys,sys_career_paths,28
sys,sys_compensation_bands,87
sys,sys_compensation_recommendations,116
sys,sys_content_blueprint_links,1
sys,sys_content_categories,0
sys,sys_content_documents,121
sys,sys_content_media,0
sys,sys_content_versions,132
sys,sys_continuous_feedback,474
sys,sys_critical_positions,8
sys,sys_critical_role_coverage_status,8
sys,sys_employee_position_fit_scores,146
sys,sys_engagement_action_plans,6
sys,sys_engagement_feedback,400
sys,sys_engagement_survey_responses,862
sys,sys_engagement_survey_templates,5
sys,sys_engagement_surveys,6
sys,sys_enterprise_size_bands,4
sys,sys_enterprise_typing_profiles,2
sys,sys_esco_occupation_embeddings,3045
sys,sys_esco_occupation_mappings,7675
sys,sys_feedback_360_responses,390
sys,sys_flight_risk_scores,159
sys,sys_gap_analysis_results,270
sys,sys_gap_closure_actions,440
sys,sys_gap_closure_plans,36
sys,sys_goal_alignments,100
sys,sys_goal_check_ins,1000
sys,sys_goal_comments,856
sys,sys_goal_milestones,1000
sys,sys_goal_templates,40
sys,sys_goal_updates,1811
sys,sys_goals,1067
sys,sys_inbox_notifications,50
